Model,Best Params,Accuracy,Precision,Recall,F1 Score
LogisticRegression,{'model__C': 1},0.9024390243902439,0.910957675753228,0.9024390243902439,0.9017358822236871
RandomForest,"{'model__max_depth': 20, 'model__n_estimators': 100}",0.9939024390243902,0.9939741750358679,0.9939024390243902,0.9939013044255708
SVC,"{'model__C': 10, 'model__kernel': 'rbf'}",0.9817073170731707,0.9817736047799793,0.9817073170731707,0.9817039132767122
DecisionTree,{'model__max_depth': 20},0.9329268292682927,0.9334483850884187,0.9329268292682927,0.9328743639431031
